名称	区	地址	类型	房源数	车位数	开发商
世纪城国际公馆贝丽湖	东莞 南城 	 东莞市南城区东莞大道东侧（东莞大道世纪城）		4500	1960	东莞市世纪城商住开发有限公司
和富花园	东莞 万江 	 东莞市万江新和管理区，港口大道与东莞大道交叉口		390	-	富通地产
汇一城（东莞）	东莞 南城 	 东莞市南城鸿福路200号		-	1397	东莞市商业中心发展有限公司
佳兆业水岸豪门	东莞 凤岗 	 东莞市凤岗雁田村东深公路旁		953	683	东莞市佳兆业房地产有限公司
锦绣山河三期	东莞 松山湖 	 东莞市松山湖中心行政旅游区		-	802	东莞市桃源商住建造有限公司
骏隆君悦天城	东莞 石碣 	 东莞市石碣镇彩虹西路（华润超市侧）		890	473	东莞市骏隆房地产开发有限公司
鼎盛中环	东莞 厚街 	 东莞市厚街寮厦大道（S256省道寮厦路段）		1564	717	东莞市鑫伯房地产投资有限公司
御花苑天珑湾	东莞 南城 	 东莞市南城区水濂湖畔		600	1000	东莞御花苑商品住宅建造有限公司
丰泰旗山绿洲	东莞 东城 	 东莞市东城石井支路，莞深高速与莞樟路交汇处		2625	350	东莞市丰泰建设房地产有限公司
广发金融大厦D3 Plaza	东莞 南城 	 东莞市南城中心区石竹路3号		-	800	东莞市广发房地产开发有限公司
金海华府（惠州）	惠州 惠城区 	 惠城区惠南大道旁		-	491	惠州大亚湾华达实业有限公司
罗浮山岭南雅苑	惠州 博罗区 	 博罗县长宁镇罗浮路91号		352	-	博罗现代房地产开发有限公司
世纪城国际公馆香榭里	东莞 南城 	 东莞市南城东莞大道世纪城（东临同沙生态园）		-	800	东莞市世纪城商住开发有限公司
万科城琥珀郡	东莞 常平 	 东莞市常平镇环镇路转嘉兴路（紧邻常虎高速常平出口）		74	611	东莞市万科阳光房地产有限公司
惠景豪苑二期	惠州 惠阳区 	 惠阳区新中心区金惠大道西段		844	518	广东中核惠原工程有限公司
阳光四季（惠州）	惠州 惠阳区 	 惠州市惠阳区白云二路		255	600	惠州市立润置业有限公司
万科松山湖北部工业园住宅	东莞 松山湖 	 东莞市松山湖邻近华为松山湖工业园区		432	-	东莞万科置业有限公司
长城世家二期	东莞 松山湖 	 东莞市松山湖园区沁园路		956	700	东莞市莞深长城地产有限公司
南国雅苑二期	东莞 中堂 	 东莞市中堂振兴路107国道鸿富酒店旁		218	958	东莞市中天力通房地产开发有限公司
碧桂园城市之光	惠州 大亚湾 	 惠州大亚湾新澳大道澳头中心段（榕诚酒店斜对面）		614	864	惠州金银湾房地产开发有限公司
中信新城	惠州 惠阳区 	 惠阳区淡水镇白云路（惠阳一中对面）		3459	-	-
尚城世家二期	惠州 惠阳区 	 惠阳金惠大道区政府大剧院旁		-	1232	惠阳鸿江房地产开发有限公司
方直珑湖湾	惠州 惠城区 	 惠城区金山大道与惠沙堤二路交汇处		828	2730	广东方直集团有限公司
鼎盛广场	惠州 惠阳区 	 淡水金惠大道边，惠阳天虹对面		1288	800	惠州中惠源实业发展有限公司
光耀派	惠州 惠城区 	 仲恺区惠环街道办后（莞惠轻轨惠环站旁）		980	1050	光耀集团有限公司
东岸公馆	惠州 惠阳区 	 惠阳区金惠大道与内环路交汇处（琼苑大酒店斜对面）		1460	470	惠州市凯利达实业有限公司
皇庭壹号公馆	东莞 石龙 	 东莞市石龙新区裕兴路（石龙镇政府斜对面）		-	-	惠州市皇庭旅游地产开发有限公司
花样年碧云天	惠州 大亚湾 	 大亚湾经济开发区石化大道		1770	1196	惠州大亚湾花万里实业有限公司
汇景御泉香山	东莞 清溪 	 东莞市清溪镇清凤大道与香山路交汇处		1581	1235	东莞市翡翠半岛房地产开发有限公司
美泰天韵	惠州 大亚湾 	 大亚湾区西区龙山七路与龙海二路交汇处（上扬移民村公交站步行50米处）		1130	326	惠州美泰汇房地产开发有限公司
万科紫台	东莞 虎门 	 东莞市虎门连升中路88号（华池酒店南侧）		770	1061	东莞市虎门万科房地产有限公司
东方银座广场	东莞 常平 	 东莞市常平常平大道还珠沥村		-	1500	东方银座集团
中央财津	东莞 南城 	 东莞市南城四环路与莞太路交汇处		975	233	东莞南城房地产开发公司
