名称	区	地址	类型	房源数	车位数	开发商
新安湖花园	宝安区 新安老城片区 	 宝安区新安街道办前进路		400		深圳新安湖实业有限公司
淘金山湖景花园	罗湖区 布心 	 东湖水库边防七支队一大队对面		836	849	深圳市金地利投资有限公司
卓越维港名苑南区	南山区 后海 	 南山区		556	1080	深圳市卓越维港房地产开发有限公司
玉湖湾花园	宝安区 西乡 	 宝安区西乡街道银田路		960	926	深圳市玉湖房地产开发有限公司
科苑花园34区	南山区 科技园片区 	 南山区文华路5号		1320	-	-
龙光城	惠州 大亚湾 	 惠州大亚湾西南大道（深惠经济合作区）				
香蜜湖瀚城	福田区 香蜜湖 	 梅林水厂西侧		519	359	深圳市南山开发置业有限公司
科大雅苑	南山区 西丽 	 深圳市南方科技大学正门南侧，留仙大道以北，学苑路以南，5号线塘朗地铁站C出口		1176	-	深圳市宝盛实业有限公司
东晟时代花园一期	坪山区 坪山 	 坪山新区中山大道与锦龙大道交汇处		2273	2158	深业南方地产(集团)有限公司
灵芝新村	宝安区 新安老城 	 新安街道办兴华路南侧		1757		深圳市宝安广信房地产开发公司
凯丽花园	南山区 科技园 	 南山区高新中四道6号		701		-
田苑小区	罗湖区 翠竹 	 罗湖区文锦北路与田贝四路交汇处东南侧		303	60	深圳城建开发集团公司
东方明珠城 	龙岗区 龙岗中心区 	 龙岗区龙岗街道南联社区		1536	876	深圳市东方置地实业有限公司
碧岭华庭一期	罗湖区 布心 	 罗湖区太白路(松泉山庄北面)		982	500	深圳市祥云实业有限公司
心海城一期	坪山区 坪山 	 深圳市坪山新区坪山街道坪环路以西，比亚迪路以北		1696	1300	深圳市心海腾楗投资发展有限公司
中骏四季阳光花园一期	龙岗区 龙岗中心区 	 龙岗深汕公路与深汕高速交汇处（沈海高速龙岗出口右拐200米）		2320	1652	中骏置业控股有限公司
太子山庄二期	南山区 前海片区 	 前海路与内湖路交汇处荔林公园旁		974	100	-
流塘阳光花园	宝安区 西乡 	 宝安区西乡街道		2000	1691	深圳市阳光华艺房地产有限公司
万科云城六期	南山区 西丽 	 石鼓路和打石一路交汇处		816	-	深圳市万科云城房地产开发有限公司
卓越皇后道名苑	龙华区 大浪 	 龙华新区新区大道与人民路交汇处		1252	1360	深圳市金利居房地产开发有限公司
太阳新城	罗湖区 布心 	 太白路南		688	-	深圳市阳基房地产开发有限公司
宝珠花园	南山区 西丽片区 	 南山区龙井路与珠光路交汇处		204	434	深圳市建设（集团）有限公司
新锦安雅园	宝安区 宝中 	 宝安区湖滨路与翻身路交汇处		246	100	新锦安实业发展（深圳）有限公司
阁林网苑	福田区 华强百花 	 福田区振兴路与燕南路交汇处		416	250	国土资源部机关服务局
半岛城邦一期	南山区 蛇口 	 蛇口东角头		1012	1012	深圳南海益田置业有限公司
红荔村住宅区	福田区 华强百花 	 福田区华发北路与振兴路交汇处东侧		980	500	深圳市万厦物业有限公司
英伦名苑一期	南山区 科技园 	 沙河西路		178	-	深圳市友盛置业有限公司
蔚蓝海岸社区三期	南山区 后海 	 南山区白石路东、登良路北		1481	1050	卓越置业集团有限公司
大冲都市花园	南山区 科技园 	 南山区科技园科发路1号		2140	2460	华润置地（深圳）有限公司
松坪村二期	南山区 科技园 	 南山区科技园北区松坪山六号路		-	-	深圳市住宅局
华润深圳湾悦府一期	南山区 后海 	  深圳南山区滨海大道和科苑路交界处		290	672	华润置地（深圳）发展有限公司
幸福港湾二期	宝安区 西乡 	 宝安区西乡街道		959	625	深圳市福中福房地产开发有限公司
深业新岸线三期	宝安区 宝中 	 宝安区新安六路与宝源路交汇处南侧		693	840	深业集团（深圳）有限公司
大南山紫园	南山区 前海 	 深圳市南山区大南山月亮湾公园内，青青世界旁		116	240	深圳市武龙源房地产开发有限公司
深业东城上邸	坪山区 坪山 	 龙岗区坪山街道		912	836	深业南方地产(集团)有限公司
阳光带海滨城一期	南山区 科技园 	 学府路南、沙河西路西		916	710	深圳招商房地产有限公司
城中雅苑	福田区 福田中心区 	 福华三路南侧		1000	760	深圳市城市建设开发(集团)公司
通心岭小区	福田区 华强百花片区 	 福田区同福路2号		820	300	深圳城市建设集团
太古城花园南区	南山区 后海 	 南山区蛇口东填海区工业八路南		2302	3300	宝能地产股份有限公司
桃源村三期	南山区 西丽片区 	 南山北环大道与龙珠大道的交汇处西侧		2832	800	深圳市国土资源和房产管理局
红树西岸花园	南山区 红树湾片区 	 南山区滨海大道与深湾一路交汇处		1301	128	深圳红树西岸地产发展有限公司
信义嘉御山一期	龙岗区 坂田 	 深圳市地铁5号线(环中线)五和站C出口		1764	2352	 深圳市信贤房地产开发有限公司
阳光带海滨城二期	南山区 科技园 	 南山区科苑南路东		1048	700	深圳招商房地产有限公司
黄金大厦	宝安区 新安老城 	 宝安区新安街道办宝民路东侧		770	245	深圳市佳宝林房地产有限公司
天健时尚空间名苑	宝安区 宝中 	 宝安区新安街道兴华西路		700	443	深圳市天健房地产开发实业有限公司
叠翠新峰	龙岗区 龙岗中心区 	 龙岗区龙岗街道鹏达路与碧新路交汇处		702		深圳市鹏达房地产开发有限公司
怡康家园	龙岗区 布吉 	 布吉镇		938	360	深圳市怡康弘投资发展有限公司
时代景苑	宝安区 福永片区 	 宝安区福永街道广深公路和兴益路交汇处		-	218	兴益(深圳)工业发展有限公司
南国丽城花园	南山区 西丽 	 南山区大沙河西、留仙大道北		1203	780	深圳市闽泰房地产开发有限公司
桃源峰景园	宝安区 西乡片区 	 宝安区西乡街道前进二路东侧		-	1700	深圳航空城（东部）实业有限公司
天峦湖花园	坪山区 坪山 	 深圳市坪山新区坪山街道马峦北路东面		1000	1884	深圳市泰富华天峦湖置业有限公司
深圳湾公馆	南山区 后海 	 后海大道与东滨路交汇东北角		215	150	广东城脉地产有限公司
阳光花地苑	南山区 前海 	 南山区前海路东侧		752	270	深圳市致远房地产开发有限公司
荔湖花苑	福田区 园岭 	 福田区红荔路1068号		320	330	深圳市长城地产股份有限公司
翠竹苑	罗湖区 翠竹 	 罗湖区翠竹路与东门北路交汇处东北侧		1820	500	深圳经济特区房地产(集团)股份有限公司
鲸山觐海	南山区 蛇口 	 松湖路		369	850	深圳招商房地产有限公司
月亮湾山庄三期	南山区 前海 	 兴海大道与前海路交汇处		212	400	深圳市南油开发建设有限公司
前海金岸大厦	南山区 南头 	 桃园路		555	-	深圳市前海股份有限公司
金地朗悦花园一期	坪山区 坪山 	 深圳市坪山新区坪山街道新合路		946	756	深圳市金地宝城房地产开发有限公司
黄埔雅苑一期	福田区 彩田莲花片区 	 福中路		606	400	和记黄埔地产（深圳）有限公司
佳兆业城市广场一期	龙岗区 坂田 	 龙岗区坂田街道办		2400	8856	宝吉工艺品(深圳)有限公司
中海大山地花园北区	龙岗区 横岗 	 龙岗区深峰路与红棉路交汇处东北侧		1214	1200	中海地产集团有限公司
长泰花园	福田区 华强百花 	 福田区百花四路10号		338	106	长城物业集团股份有限公司公司
中央原著南区	龙华区 大浪 	 宝安区龙华街道人民南路		810	1228	深圳市展远房地产开发有限公司
海雅广场	宝安区 新安老城 	 宝安区新安街道宝民路东北侧		492	-	深圳新安湖实业有限公司
泛海城市广场	南山区 前海 	 南山区兴海大道与前海路交汇处		889	750	深圳市光彩置业有限公司
招商果岭花园	宝安区 西乡 	 宝安区西乡街道宝安大道与宾隆路交汇处西南侧		1696	1620	深圳市美越房地产顾问有限公司
金翠园	罗湖区 翠竹 	 罗湖区田贝二路		527	518	佳兆业地产（深圳）有限公司
鸿威海怡湾畔花园	南山区 后海 	 南山科苑南路与招商路交汇		909	1265	深圳市海怡湾畔房地产开发有限公司
皇庭世纪花园	福田区 皇岗 	 滨河大道与益田路交汇处		2032	812	深圳市恒浩房地产开发有限公司
魅力时代花园	宝安区 西乡 	 宝安区西乡街道西乡大道与新湖路交汇处		2067	2050	深圳市银星房地产开发有限公司
西城雅筑花苑	宝安区 宝中 	 宝安区新安街道新湖路西侧		896		深圳市西城雅筑置业有限公司
阳光棕榈园二期	南山区 前海片区 	 前海路西，桂庙路北		764	1200	中海地产集团有限公司
潜龙曼海宁花园	龙华区 大浪片区 	 龙华新区大浪街道办和平路与新区大道交汇处东侧		930	1690	深圳市潜龙实业有限公司
百仕达花园四期	罗湖区 水库片区 	 罗湖太宁路与东晓路交汇处东北侧		1322	1060	百仕达地产有限公司
漾日湾畔	南山区 后海 	 南山区商业文化中心片区		1133	768	深圳市国基房地产开发有限公司
星河国际花园	福田区 福田中心区 	 福华三路		1200	1795	深圳市星河房地产开发有限公司
星海名城	南山区 前海片区 	 南山前海路与一号路交汇处		5600	-	深圳市振业（集团）股份有限公司
园岭花园	福田区 园岭白沙岭 	 福田区红岭中路与笋岗西路交汇处		324	100	深圳市城建开发（集团）有限公司
星海名城六期	南山区 前海 	 深南大道与前海路交汇处		5600	2700	深圳市振业（集团）股份有限公司
圣淘沙骏园	宝安区 西乡 	 深圳市宝安区西乡街道新湖路		984	860	深圳市宏发房地产开发有限公司
澳城花园二期	南山区 后海 	 后海滨路与东港路交汇处		477	444	澳达实业发展（深圳）有限公司
金茂礼都	福田区 华强百花 	 振兴路桑达电子工业区内		832	186	深圳市大富铭投资发展有限公司
观澜汇	龙华区 观澜 	 龙华新区观澜大道西侧		980	-	深圳市福民合建投资有限公司
中南花园	宝安区 翻身 	 新安办三十八区		920	270	深圳市屹海达实业有限公司
深业新岸线	宝安区 宝中 	 宝安中心区宝源路与罗田路交汇处		1163	1200	深业集团（深圳）有限公司
阳光里雅居	南山区 南山中心区 	 南山区南光路73号(南光路以西、学府路以南、桂庙路以北)		891	350	深圳市集泰实业发展有限公司
龙珠花园C区	龙岗区 布吉 	 布吉		4553	1200	大中华国际实业（深圳）有限公司
前海丹华	南山区 前海片区 	 赤湾四路以北赤湾九路以东		366	400	深圳市赤湾投资发展有限公司
中海锦城花园	龙华区 大浪 	 龙华新区民治上塘		2496	-	深圳中海地产有限公司
力高君御花园	坪山区 坪山 	 深圳市坪山新区中山大道与锦龙大道交汇处		1238	1300	深圳市力高大道置业有限公司
科技园小区	南山区 科技园片区 	 南山区科技园科苑路		120	114	深圳市科技园开发有限公司
中洲华府一期	宝安区 新安老城 	 宝安区新安街道裕安二路与公园路交汇处		2090	1600	深圳市中洲宝城置业有限公司
中粮凤凰里花苑	宝安区 福永 	 宝安区福永街道		1215	1050	中粮地产（集团）股份有限公司
铭筑荔苑	南山区 前海 	 东滨路以南、前海路以东		432	250	深圳市荔芳园房地产开发有限公司
光彩山居岁月	南山区 前海 	 荔湾路以东		291	181	泛海建设集团股份有限公司
金港华庭	宝安区 西乡 	 宝安宝安大道与银田路交汇处南侧		1542	1200	深圳市嘉晨投资有限公司
鸿隆广场	宝安区 西乡 	 宝安80区107国道旁，新安路与西乡大道交汇处		1493	-	鸿隆地产（深圳）有限公司
中洲华府二期	宝安区 新安老城 	 宝安区新安街道裕安二路与公园交汇处		1000	1600	深圳市中洲宝城置业有限公司
公园大地一期	龙岗区 龙岗中心区 	 龙岗区中心城龙翔大道与吉祥中路交汇处		3776	4715	深圳市鸿荣源房地产开发有限公司
松坪村一期	南山区 科技园 	 南山区宝深路与松坪山路交汇处东南侧		-	-	深圳市住宅局
勤诚达22世纪一期	宝安区 新安老城 	 新安街道		1178	1000	深圳市瑞恒投资发展有限公司
鼎太风华社区二期	南山区 前海 	 前海路西、桂庙路南		662	780	鼎太房地产开发（深圳）有限公司
雷圳碧榕湾名苑	南山区 前海 	 南山前海路南与沿湖路交界处		912	654	深圳市雷圳房地产开发有限公司
金地龙城中央	龙岗区 龙岗中心区 	 深圳市龙岗中心城龙岗大道与龙城南路交界处（地铁3号线龙城广场A出口）		4626	2540	深圳市淞江康纳投资有限公司
